chromosome,gene,transcript,canonical,lof.oe_ci.upper,lof.oe_ci.upper_bin_decile,trimester,group,uni_prot,protein,rowsum,rank,norm_rank
NA,NBL1,NM_005380.8,TRUE,0.979,NA,Third,sPTD,P41271,DAN,50618,203,0.1742489270386266
NA,NBL1,NM_005380.8,TRUE,0.979,NA,Third,PPROM,P41271,DAN,157211,155.5,0.1334763948497854
chr1,NBL1,ENST00000375136,TRUE,0.979,4,Second,Control,P41271,DAN,320969,859,0.7373390557939914
chr1,NBL1,ENST00000375136,TRUE,0.979,4,Second,sPTD,P41271,DAN,91768,345,0.296137339055794
chr1,NBL1,ENST00000375136,TRUE,0.979,4,Second,PPROM,P41271,DAN,303639,1071.5,0.9197424892703864
chr1,NBL1,ENST00000375136,TRUE,0.979,4,Third,Control,P41271,DAN,248746,743,0.6377682403433477
chr1,NBL1,ENST00000375136,TRUE,0.979,4,Third,sPTD,P41271,DAN,50618,203,0.1742489270386266
chr1,NBL1,ENST00000375136,TRUE,0.979,4,Third,PPROM,P41271,DAN,157211,155.5,0.1334763948497854
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Second,Control,P13591,NCAM-120,160231,464,0.3982832618025751
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Second,Control,P13591,NCAM1,125557,364,0.31244635193133047
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Second,sPTD,P13591,NCAM-120,210167,961,0.8248927038626609
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Second,PPROM,P13591,NCAM-120,179723,507,0.4351931330472103
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Third,Control,P13591,NCAM-120,183279,559,0.4798283261802575
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Third,Control,P13591,NCAM1,181878,556,0.47725321888412015
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Third,sPTD,P13591,NCAM-120,255954,928,0.7965665236051502
NA,NCAM1,NM_181351.5,TRUE,0.217,NA,Third,PPROM,P13591,NCAM-120,366299,1099.5,0.9437768240343348
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Second,Control,P13591,NCAM-120,160231,464,0.3982832618025751
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Second,Control,P13591,NCAM1,125557,364,0.31244635193133047
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Second,sPTD,P13591,NCAM-120,210167,961,0.8248927038626609
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Second,PPROM,P13591,NCAM-120,179723,507,0.4351931330472103
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Third,Control,P13591,NCAM-120,183279,559,0.4798283261802575
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Third,Control,P13591,NCAM1,181878,556,0.47725321888412015
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Third,sPTD,P13591,NCAM-120,255954,928,0.7965665236051502
chr11,NCAM1,ENST00000316851,TRUE,0.217,0,Third,PPROM,P13591,NCAM-120,366299,1099.5,0.9437768240343348
NA,NCK1,NM_001291999.2,TRUE,0.72,NA,Second,Control,P16333,NCK1,48356,122,0.10472103004291844
NA,NCK1,NM_001291999.2,TRUE,0.72,NA,Second,sPTD,P16333,NCK1,126004,569,0.488412017167382
NA,NCK1,NM_001291999.2,TRUE,0.72,NA,Second,PPROM,P16333,NCK1,81558,31.5,0.02703862660944206
NA,NCK1,NM_001291999.2,TRUE,0.72,NA,Third,Control,P16333,NCK1,42444,107,0.09184549356223176
NA,NCK1,NM_001291999.2,TRUE,0.72,NA,Third,sPTD,P16333,NCK1,229139,825,0.7081545064377682
NA,NCK1,NM_001291999.2,TRUE,0.72,NA,Third,PPROM,P16333,NCK1,330589,684,0.5871244635193134
chr3,NCK1,ENST00000481752,TRUE,0.72,2,Second,Control,P16333,NCK1,48356,122,0.10472103004291844
chr3,NCK1,ENST00000481752,TRUE,0.72,2,Second,sPTD,P16333,NCK1,126004,569,0.488412017167382
chr3,NCK1,ENST00000481752,TRUE,0.72,2,Second,PPROM,P16333,NCK1,81558,31.5,0.02703862660944206
chr3,NCK1,ENST00000481752,TRUE,0.72,2,Third,Control,P16333,NCK1,42444,107,0.09184549356223176
chr3,NCK1,ENST00000481752,TRUE,0.72,2,Third,sPTD,P16333,NCK1,229139,825,0.7081545064377682
chr3,NCK1,ENST00000481752,TRUE,0.72,2,Third,PPROM,P16333,NCK1,330589,684,0.5871244635193134
NA,NCR1,NM_004829.7,TRUE,1.236,NA,Second,Control,O76036,NKp46,262465,692,0.5939914163090129
NA,NCR1,NM_004829.7,TRUE,1.236,NA,Second,sPTD,O76036,NKp46,179547,837,0.7184549356223175
NA,NCR1,NM_004829.7,TRUE,1.236,NA,Second,PPROM,O76036,NKp46,303639,1071.5,0.9197424892703864
NA,NCR1,NM_004829.7,TRUE,1.236,NA,Third,Control,O76036,NKp46,158942,480,0.41201716738197425
NA,NCR1,NM_004829.7,TRUE,1.236,NA,Third,sPTD,O76036,NKp46,239895,867,0.744206008583691
NA,NCR1,NM_004829.7,TRUE,1.236,NA,Third,PPROM,O76036,NKp46,355847,947,0.8128755364806867
chr19,NCR1,ENST00000291890,TRUE,1.236,6,Second,Control,O76036,NKp46,262465,692,0.5939914163090129
chr19,NCR1,ENST00000291890,TRUE,1.236,6,Second,sPTD,O76036,NKp46,179547,837,0.7184549356223175
chr19,NCR1,ENST00000291890,TRUE,1.236,6,Second,PPROM,O76036,NKp46,303639,1071.5,0.9197424892703864
chr19,NCR1,ENST00000291890,TRUE,1.236,6,Third,Control,O76036,NKp46,158942,480,0.41201716738197425
chr19,NCR1,ENST00000291890,TRUE,1.236,6,Third,sPTD,O76036,NKp46,239895,867,0.744206008583691
chr19,NCR1,ENST00000291890,TRUE,1.236,6,Third,PPROM,O76036,NKp46,355847,947,0.8128755364806867
NA,NCR2,NM_004828.4,TRUE,1.472,NA,Second,Control,O95944,NKp44,127963,374,0.32103004291845494
NA,NCR2,NM_004828.4,TRUE,1.472,NA,Second,sPTD,O95944,NKp44,177147,821,0.7047210300429184
NA,NCR2,NM_004828.4,TRUE,1.472,NA,Second,PPROM,O95944,NKp44,244655,618,0.5304721030042918
NA,NCR2,NM_004828.4,TRUE,1.472,NA,Third,Control,O95944,NKp44,157210,477,0.4094420600858369
NA,NCR2,NM_004828.4,TRUE,1.472,NA,Third,sPTD,O95944,NKp44,86563,406,0.3484978540772532
NA,NCR2,NM_004828.4,TRUE,1.472,NA,Third,PPROM,O95944,NKp44,355847,947,0.8128755364806867
chr6,NCR2,ENST00000373089,TRUE,1.472,8,Second,Control,O95944,NKp44,127963,374,0.32103004291845494
chr6,NCR2,ENST00000373089,TRUE,1.472,8,Second,sPTD,O95944,NKp44,177147,821,0.7047210300429184
chr6,NCR2,ENST00000373089,TRUE,1.472,8,Second,PPROM,O95944,NKp44,244655,618,0.5304721030042918
chr6,NCR2,ENST00000373089,TRUE,1.472,8,Third,Control,O95944,NKp44,157210,477,0.4094420600858369
chr6,NCR2,ENST00000373089,TRUE,1.472,8,Third,sPTD,O95944,NKp44,86563,406,0.3484978540772532
chr6,NCR2,ENST00000373089,TRUE,1.472,8,Third,PPROM,O95944,NKp44,355847,947,0.8128755364806867
NA,NCR3,NM_147130.3,TRUE,1.208,NA,Second,Control,O14931,NKp30,370344,1031,0.8849785407725322
NA,NCR3,NM_147130.3,TRUE,1.208,NA,Second,sPTD,O14931,NKp30,56947,140,0.12017167381974247
NA,NCR3,NM_147130.3,TRUE,1.208,NA,Second,PPROM,O14931,NKp30,303639,1071.5,0.9197424892703864
NA,NCR3,NM_147130.3,TRUE,1.208,NA,Third,Control,O14931,NKp30,339761,1101,0.9450643776824036
NA,NCR3,NM_147130.3,TRUE,1.208,NA,Third,sPTD,O14931,NKp30,39379,148,0.12703862660944207
NA,NCR3,NM_147130.3,TRUE,1.208,NA,Third,PPROM,O14931,NKp30,355847,947,0.8128755364806867
chr6,NCR3,ENST00000340027,TRUE,1.208,6,Second,Control,O14931,NKp30,370344,1031,0.8849785407725322
chr6,NCR3,ENST00000340027,TRUE,1.208,6,Second,sPTD,O14931,NKp30,56947,140,0.12017167381974247
chr6,NCR3,ENST00000340027,TRUE,1.208,6,Second,PPROM,O14931,NKp30,303639,1071.5,0.9197424892703864
chr6,NCR3,ENST00000340027,TRUE,1.208,6,Third,Control,O14931,NKp30,339761,1101,0.9450643776824036
chr6,NCR3,ENST00000340027,TRUE,1.208,6,Third,sPTD,O14931,NKp30,39379,148,0.12703862660944207
chr6,NCR3,ENST00000340027,TRUE,1.208,6,Third,PPROM,O14931,NKp30,355847,947,0.8128755364806867
NA,NGF,NM_002506.3,TRUE,0.67,NA,Second,Control,P01138,b-NGF,260547,685,0.5879828326180258
NA,NGF,NM_002506.3,TRUE,0.67,NA,Second,sPTD,P01138,b-NGF,154242,711,0.6103004291845494
NA,NGF,NM_002506.3,TRUE,0.67,NA,Second,PPROM,P01138,b-NGF,85169,95.5,0.08197424892703863
NA,NGF,NM_002506.3,TRUE,0.67,NA,Third,Control,P01138,b-NGF,245262,733,0.6291845493562231
NA,NGF,NM_002506.3,TRUE,0.67,NA,Third,sPTD,P01138,b-NGF,116674,501,0.4300429184549357
NA,NGF,NM_002506.3,TRUE,0.67,NA,Third,PPROM,P01138,b-NGF,366299,1099.5,0.9437768240343348
chr1,NGF,ENST00000369512,TRUE,0.67,2,Second,Control,P01138,b-NGF,260547,685,0.5879828326180258
chr1,NGF,ENST00000369512,TRUE,0.67,2,Second,sPTD,P01138,b-NGF,154242,711,0.6103004291845494
chr1,NGF,ENST00000369512,TRUE,0.67,2,Second,PPROM,P01138,b-NGF,85169,95.5,0.08197424892703863
chr1,NGF,ENST00000369512,TRUE,0.67,2,Third,Control,P01138,b-NGF,245262,733,0.6291845493562231
chr1,NGF,ENST00000369512,TRUE,0.67,2,Third,sPTD,P01138,b-NGF,116674,501,0.4300429184549357
chr1,NGF,ENST00000369512,TRUE,0.67,2,Third,PPROM,P01138,b-NGF,366299,1099.5,0.9437768240343348
NA,NID1,NM_002508.3,TRUE,0.676,NA,Second,Control,P14543,Nidogen,5362,19,0.01630901287553648
NA,NID1,NM_002508.3,TRUE,0.676,NA,Second,sPTD,P14543,Nidogen,107865,439,0.376824034334764
NA,NID1,NM_002508.3,TRUE,0.676,NA,Second,PPROM,P14543,Nidogen,145239,424,0.3639484978540773
NA,NID1,NM_002508.3,TRUE,0.676,NA,Third,Control,P14543,Nidogen,102555,290,0.24892703862660945
NA,NID1,NM_002508.3,TRUE,0.676,NA,Third,sPTD,P14543,Nidogen,40692,151,0.1296137339055794
NA,NID1,NM_002508.3,TRUE,0.676,NA,Third,PPROM,P14543,Nidogen,194647,241,0.2068669527896996
chr1,NID1,ENST00000264187,TRUE,0.676,2,Second,Control,P14543,Nidogen,5362,19,0.01630901287553648
chr1,NID1,ENST00000264187,TRUE,0.676,2,Second,sPTD,P14543,Nidogen,107865,439,0.376824034334764
chr1,NID1,ENST00000264187,TRUE,0.676,2,Second,PPROM,P14543,Nidogen,145239,424,0.3639484978540773
chr1,NID1,ENST00000264187,TRUE,0.676,2,Third,Control,P14543,Nidogen,102555,290,0.24892703862660945
chr1,NID1,ENST00000264187,TRUE,0.676,2,Third,sPTD,P14543,Nidogen,40692,151,0.1296137339055794
chr1,NID1,ENST00000264187,TRUE,0.676,2,Third,PPROM,P14543,Nidogen,194647,241,0.2068669527896996
NA,NID2,NM_007361.4,TRUE,0.642,NA,Second,Control,Q14112,NID2,26798,64,0.05493562231759656
NA,NID2,NM_007361.4,TRUE,0.642,NA,Second,sPTD,Q14112,NID2,123289,554,0.4755364806866953
NA,NID2,NM_007361.4,TRUE,0.642,NA,Second,PPROM,Q14112,NID2,145239,424,0.3639484978540773
NA,NID2,NM_007361.4,TRUE,0.642,NA,Third,Control,Q14112,NID2,97971,270,0.2317596566523605
NA,NID2,NM_007361.4,TRUE,0.642,NA,Third,sPTD,Q14112,NID2,46267,183,0.1570815450643777
NA,NID2,NM_007361.4,TRUE,0.642,NA,Third,PPROM,Q14112,NID2,194647,241,0.2068669527896996
chr14,NID2,ENST00000216286,TRUE,0.642,2,Second,Control,Q14112,NID2,26798,64,0.05493562231759656
chr14,NID2,ENST00000216286,TRUE,0.642,2,Second,sPTD,Q14112,NID2,123289,554,0.4755364806866953
chr14,NID2,ENST00000216286,TRUE,0.642,2,Second,PPROM,Q14112,NID2,145239,424,0.3639484978540773
chr14,NID2,ENST00000216286,TRUE,0.642,2,Third,Control,Q14112,NID2,97971,270,0.2317596566523605
chr14,NID2,ENST00000216286,TRUE,0.642,2,Third,sPTD,Q14112,NID2,46267,183,0.1570815450643777
chr14,NID2,ENST00000216286,TRUE,0.642,2,Third,PPROM,Q14112,NID2,194647,241,0.2068669527896996
NA,NME1,NM_000269.3,TRUE,0.909,NA,Second,Control,P15531,Nucleoside diphosphate kinase A,146174,422,0.3622317596566524
NA,NME1,NM_000269.3,TRUE,0.909,NA,Second,sPTD,P15531,Nucleoside diphosphate kinase A,51831,116,0.09957081545064378
NA,NME1,NM_000269.3,TRUE,0.909,NA,Second,PPROM,P15531,Nucleoside diphosphate kinase A,303639,1071.5,0.9197424892703864
NA,NME1,NM_000269.3,TRUE,0.909,NA,Third,Control,P15531,Nucleoside diphosphate kinase A,185600,566,0.4858369098712446
NA,NME1,NM_000269.3,TRUE,0.909,NA,Third,sPTD,P15531,Nucleoside diphosphate kinase A,138727,567,0.486695278969957
NA,NME1,NM_000269.3,TRUE,0.909,NA,Third,PPROM,P15531,Nucleoside diphosphate kinase A,330589,684,0.5871244635193134
chr17,NME1,ENST00000393196,TRUE,0.909,4,Second,Control,P15531,Nucleoside diphosphate kinase A,146174,422,0.3622317596566524
chr17,NME1,ENST00000393196,TRUE,0.909,4,Second,sPTD,P15531,Nucleoside diphosphate kinase A,51831,116,0.09957081545064378
chr17,NME1,ENST00000393196,TRUE,0.909,4,Second,PPROM,P15531,Nucleoside diphosphate kinase A,303639,1071.5,0.9197424892703864
chr17,NME1,ENST00000393196,TRUE,0.909,4,Third,Control,P15531,Nucleoside diphosphate kinase A,185600,566,0.4858369098712446
chr17,NME1,ENST00000393196,TRUE,0.909,4,Third,sPTD,P15531,Nucleoside diphosphate kinase A,138727,567,0.486695278969957
chr17,NME1,ENST00000393196,TRUE,0.909,4,Third,PPROM,P15531,Nucleoside diphosphate kinase A,330589,684,0.5871244635193134
NA,NME2,NM_002512.4,TRUE,1.488,NA,Second,Control,P22392,NDP kinase B,385089,1111,0.953648068669528
NA,NME2,NM_002512.4,TRUE,1.488,NA,Second,sPTD,P22392,NDP kinase B,206429,944,0.8103004291845494
NA,NME2,NM_002512.4,TRUE,1.488,NA,Second,PPROM,P22392,NDP kinase B,85169,95.5,0.08197424892703863
NA,NME2,NM_002512.4,TRUE,1.488,NA,Third,Control,P22392,NDP kinase B,355262,1133,0.9725321888412016
NA,NME2,NM_002512.4,TRUE,1.488,NA,Third,sPTD,P22392,NDP kinase B,272590,990,0.8497854077253219
NA,NME2,NM_002512.4,TRUE,1.488,NA,Third,PPROM,P22392,NDP kinase B,194647,241,0.2068669527896996
chr17,NME2,ENST00000512737,TRUE,1.488,8,Second,Control,P22392,NDP kinase B,385089,1111,0.953648068669528
chr17,NME2,ENST00000512737,TRUE,1.488,8,Second,sPTD,P22392,NDP kinase B,206429,944,0.8103004291845494
chr17,NME2,ENST00000512737,TRUE,1.488,8,Second,PPROM,P22392,NDP kinase B,85169,95.5,0.08197424892703863
chr17,NME2,ENST00000512737,TRUE,1.488,8,Third,Control,P22392,NDP kinase B,355262,1133,0.9725321888412016
chr17,NME2,ENST00000512737,TRUE,1.488,8,Third,sPTD,P22392,NDP kinase B,272590,990,0.8497854077253219
chr17,NME2,ENST00000512737,TRUE,1.488,8,Third,PPROM,P22392,NDP kinase B,194647,241,0.2068669527896996
NA,NMT1,NM_021079.5,TRUE,0.318,NA,Second,Control,P30419,NMT1,164962,473,0.40600858369098713
NA,NMT1,NM_021079.5,TRUE,0.318,NA,Second,sPTD,P30419,NMT1,249542,1101,0.9450643776824036
NA,NMT1,NM_021079.5,TRUE,0.318,NA,Second,PPROM,P30419,NMT1,244655,618,0.5304721030042918
NA,NMT1,NM_021079.5,TRUE,0.318,NA,Third,Control,P30419,NMT1,222064,659,0.5656652360515021
NA,NMT1,NM_021079.5,TRUE,0.318,NA,Third,sPTD,P30419,NMT1,295731,1062,0.911587982832618
NA,NMT1,NM_021079.5,TRUE,0.318,NA,Third,PPROM,P30419,NMT1,366299,1099.5,0.9437768240343348
chr17,NMT1,ENST00000258960,TRUE,0.318,0,Second,Control,P30419,NMT1,164962,473,0.40600858369098713
chr17,NMT1,ENST00000258960,TRUE,0.318,0,Second,sPTD,P30419,NMT1,249542,1101,0.9450643776824036
chr17,NMT1,ENST00000258960,TRUE,0.318,0,Second,PPROM,P30419,NMT1,244655,618,0.5304721030042918
chr17,NMT1,ENST00000258960,TRUE,0.318,0,Third,Control,P30419,NMT1,222064,659,0.5656652360515021
chr17,NMT1,ENST00000258960,TRUE,0.318,0,Third,sPTD,P30419,NMT1,295731,1062,0.911587982832618
chr17,NMT1,ENST00000258960,TRUE,0.318,0,Third,PPROM,P30419,NMT1,366299,1099.5,0.9437768240343348
NA,NOG,NM_005450.6,TRUE,0.367,NA,Second,Control,Q13253,Noggin,86311,228,0.19570815450643775
NA,NOG,NM_005450.6,TRUE,0.367,NA,Second,sPTD,Q13253,Noggin,177062,820,0.703862660944206
NA,NOG,NM_005450.6,TRUE,0.367,NA,Second,PPROM,Q13253,Noggin,95773,216.5,0.18583690987124463
NA,NOG,NM_005450.6,TRUE,0.367,NA,Third,Control,Q13253,Noggin,80422,211,0.1811158798283262
NA,NOG,NM_005450.6,TRUE,0.367,NA,Third,sPTD,Q13253,Noggin,208033,765,0.6566523605150214
NA,NOG,NM_005450.6,TRUE,0.367,NA,Third,PPROM,Q13253,Noggin,157211,155.5,0.1334763948497854
chr17,NOG,ENST00000332822,TRUE,0.367,0,Second,Control,Q13253,Noggin,86311,228,0.19570815450643775
chr17,NOG,ENST00000332822,TRUE,0.367,0,Second,sPTD,Q13253,Noggin,177062,820,0.703862660944206
chr17,NOG,ENST00000332822,TRUE,0.367,0,Second,PPROM,Q13253,Noggin,95773,216.5,0.18583690987124463
chr17,NOG,ENST00000332822,TRUE,0.367,0,Third,Control,Q13253,Noggin,80422,211,0.1811158798283262
chr17,NOG,ENST00000332822,TRUE,0.367,0,Third,sPTD,Q13253,Noggin,208033,765,0.6566523605150214
chr17,NOG,ENST00000332822,TRUE,0.367,0,Third,PPROM,Q13253,Noggin,157211,155.5,0.1334763948497854
NA,NOTCH1,NM_017617.5,TRUE,0.217,NA,Second,Control,P46531,Notch 1,380245,1090,0.9356223175965666
NA,NOTCH1,NM_017617.5,TRUE,0.217,NA,Second,sPTD,P46531,Notch 1,256422,1123,0.9639484978540772
NA,NOTCH1,NM_017617.5,TRUE,0.217,NA,Second,PPROM,P46531,Notch 1,283380,899.5,0.7721030042918455
NA,NOTCH1,NM_017617.5,TRUE,0.217,NA,Third,Control,P46531,Notch 1,324743,1064,0.9133047210300428
NA,NOTCH1,NM_017617.5,TRUE,0.217,NA,Third,sPTD,P46531,Notch 1,313436,1116,0.95793991416309
NA,NOTCH1,NM_017617.5,TRUE,0.217,NA,Third,PPROM,P46531,Notch 1,355847,947,0.8128755364806867
chr9,NOTCH1,ENST00000651671,TRUE,0.217,0,Second,Control,P46531,Notch 1,380245,1090,0.9356223175965666
chr9,NOTCH1,ENST00000651671,TRUE,0.217,0,Second,sPTD,P46531,Notch 1,256422,1123,0.9639484978540772
chr9,NOTCH1,ENST00000651671,TRUE,0.217,0,Second,PPROM,P46531,Notch 1,283380,899.5,0.7721030042918455
chr9,NOTCH1,ENST00000651671,TRUE,0.217,0,Third,Control,P46531,Notch 1,324743,1064,0.9133047210300428
chr9,NOTCH1,ENST00000651671,TRUE,0.217,0,Third,sPTD,P46531,Notch 1,313436,1116,0.95793991416309
chr9,NOTCH1,ENST00000651671,TRUE,0.217,0,Third,PPROM,P46531,Notch 1,355847,947,0.8128755364806867
NA,NOTCH2,NM_024408.4,TRUE,0.151,NA,Second,Control,Q04721,NOTC2,90937,241,0.2068669527896996
NA,NOTCH2,NM_024408.4,TRUE,0.151,NA,Second,sPTD,Q04721,NOTC2,62682,169,0.14506437768240343
NA,NOTCH2,NM_024408.4,TRUE,0.151,NA,Second,PPROM,Q04721,NOTC2,145239,424,0.3639484978540773
NA,NOTCH2,NM_024408.4,TRUE,0.151,NA,Third,Control,Q04721,NOTC2,78890,199,0.17081545064377682
NA,NOTCH2,NM_024408.4,TRUE,0.151,NA,Third,sPTD,Q04721,NOTC2,169641,662,0.5682403433476395
NA,NOTCH2,NM_024408.4,TRUE,0.151,NA,Third,PPROM,Q04721,NOTC2,157211,155.5,0.1334763948497854
chr1,NOTCH2,ENST00000256646,TRUE,0.151,0,Second,Control,Q04721,NOTC2,90937,241,0.2068669527896996
chr1,NOTCH2,ENST00000256646,TRUE,0.151,0,Second,sPTD,Q04721,NOTC2,62682,169,0.14506437768240343
chr1,NOTCH2,ENST00000256646,TRUE,0.151,0,Second,PPROM,Q04721,NOTC2,145239,424,0.3639484978540773
chr1,NOTCH2,ENST00000256646,TRUE,0.151,0,Third,Control,Q04721,NOTC2,78890,199,0.17081545064377682
chr1,NOTCH2,ENST00000256646,TRUE,0.151,0,Third,sPTD,Q04721,NOTC2,169641,662,0.5682403433476395
chr1,NOTCH2,ENST00000256646,TRUE,0.151,0,Third,PPROM,Q04721,NOTC2,157211,155.5,0.1334763948497854
NA,NOTCH3,NM_000435.3,TRUE,0.566,NA,Second,Control,Q9UM47,Notch-3,98639,263,0.2257510729613734
NA,NOTCH3,NM_000435.3,TRUE,0.566,NA,Second,sPTD,Q9UM47,Notch-3,57927,143,0.12274678111587985
NA,NOTCH3,NM_000435.3,TRUE,0.566,NA,Second,PPROM,Q9UM47,Notch-3,130161,353,0.30300429184549355
NA,NOTCH3,NM_000435.3,TRUE,0.566,NA,Third,Control,Q9UM47,Notch-3,125779,364,0.31244635193133047
NA,NOTCH3,NM_000435.3,TRUE,0.566,NA,Third,sPTD,Q9UM47,Notch-3,103260,464,0.3982832618025751
NA,NOTCH3,NM_000435.3,TRUE,0.566,NA,Third,PPROM,Q9UM47,Notch-3,199153,336,0.28841201716738196
chr19,NOTCH3,ENST00000263388,TRUE,0.566,1,Second,Control,Q9UM47,Notch-3,98639,263,0.2257510729613734
chr19,NOTCH3,ENST00000263388,TRUE,0.566,1,Second,sPTD,Q9UM47,Notch-3,57927,143,0.12274678111587985
chr19,NOTCH3,ENST00000263388,TRUE,0.566,1,Second,PPROM,Q9UM47,Notch-3,130161,353,0.30300429184549355
chr19,NOTCH3,ENST00000263388,TRUE,0.566,1,Third,Control,Q9UM47,Notch-3,125779,364,0.31244635193133047
chr19,NOTCH3,ENST00000263388,TRUE,0.566,1,Third,sPTD,Q9UM47,Notch-3,103260,464,0.3982832618025751
chr19,NOTCH3,ENST00000263388,TRUE,0.566,1,Third,PPROM,Q9UM47,Notch-3,199153,336,0.28841201716738196
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Second,Control,P16860,BNP,343409,930,0.7982832618025751
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Second,Control,P16860,BNP-32,239584,638,0.5476394849785408
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Second,Control,P16860,N-terminal pro-BNP,128483,377,0.3236051502145923
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Second,sPTD,P16860,BNP-32,133242,605,0.51931330472103
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Second,PPROM,P16860,BNP-32,283380,899.5,0.7721030042918455
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Third,Control,P16860,BNP,328855,1079,0.9261802575107296
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Third,Control,P16860,BNP-32,221862,658,0.5648068669527897
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Third,Control,P16860,N-terminal pro-BNP,84550,228,0.19570815450643775
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Third,sPTD,P16860,BNP-32,61992,258,0.22145922746781116
NA,NPPB,NM_002521.3,TRUE,1.629,NA,Third,PPROM,P16860,BNP-32,157211,155.5,0.1334763948497854
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Second,Control,P16860,BNP,343409,930,0.7982832618025751
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Second,Control,P16860,BNP-32,239584,638,0.5476394849785408
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Second,Control,P16860,N-terminal pro-BNP,128483,377,0.3236051502145923
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Second,sPTD,P16860,BNP-32,133242,605,0.51931330472103
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Second,PPROM,P16860,BNP-32,283380,899.5,0.7721030042918455
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Third,Control,P16860,BNP,328855,1079,0.9261802575107296
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Third,Control,P16860,BNP-32,221862,658,0.5648068669527897
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Third,Control,P16860,N-terminal pro-BNP,84550,228,0.19570815450643775
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Third,sPTD,P16860,BNP-32,61992,258,0.22145922746781116
chr1,NPPB,ENST00000376468,TRUE,1.629,8,Third,PPROM,P16860,BNP-32,157211,155.5,0.1334763948497854
NA,NR1D1,NM_021724.5,TRUE,0.476,NA,Second,Control,P20393,NR1D1,343124,929,0.7974248927038626
NA,NR1D1,NM_021724.5,TRUE,0.476,NA,Second,sPTD,P20393,NR1D1,76110,236,0.20257510729613737
NA,NR1D1,NM_021724.5,TRUE,0.476,NA,Second,PPROM,P20393,NR1D1,92162,157,0.13476394849785409
NA,NR1D1,NM_021724.5,TRUE,0.476,NA,Third,Control,P20393,NR1D1,294534,927,0.7957081545064377
NA,NR1D1,NM_021724.5,TRUE,0.476,NA,Third,sPTD,P20393,NR1D1,147785,592,0.5081545064377683
NA,NR1D1,NM_021724.5,TRUE,0.476,NA,Third,PPROM,P20393,NR1D1,350264,791.5,0.6793991416309013
chr17,NR1D1,ENST00000246672,TRUE,0.476,1,Second,Control,P20393,NR1D1,343124,929,0.7974248927038626
chr17,NR1D1,ENST00000246672,TRUE,0.476,1,Second,sPTD,P20393,NR1D1,76110,236,0.20257510729613737
chr17,NR1D1,ENST00000246672,TRUE,0.476,1,Second,PPROM,P20393,NR1D1,92162,157,0.13476394849785409
chr17,NR1D1,ENST00000246672,TRUE,0.476,1,Third,Control,P20393,NR1D1,294534,927,0.7957081545064377
chr17,NR1D1,ENST00000246672,TRUE,0.476,1,Third,sPTD,P20393,NR1D1,147785,592,0.5081545064377683
chr17,NR1D1,ENST00000246672,TRUE,0.476,1,Third,PPROM,P20393,NR1D1,350264,791.5,0.6793991416309013
NA,NR3C1,NM_000176.3,TRUE,0.294,NA,Second,Control,P04150,Glucocorticoid receptor,183045,504,0.43261802575107294
NA,NR3C1,NM_000176.3,TRUE,0.294,NA,Second,sPTD,P04150,Glucocorticoid receptor,131491,593,0.5090128755364807
NA,NR3C1,NM_000176.3,TRUE,0.294,NA,Second,PPROM,P04150,Glucocorticoid receptor,92162,157,0.13476394849785409
NA,NR3C1,NM_000176.3,TRUE,0.294,NA,Third,Control,P04150,Glucocorticoid receptor,122296,354,0.303862660944206
NA,NR3C1,NM_000176.3,TRUE,0.294,NA,Third,sPTD,P04150,Glucocorticoid receptor,232108,837,0.7184549356223175
NA,NR3C1,NM_000176.3,TRUE,0.294,NA,Third,PPROM,P04150,Glucocorticoid receptor,199153,336,0.28841201716738196
